image,y,x
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,311.6493581353457,878.013030809744
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,444.4021190160134,929.9597633282661
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,416.98578796457116,860.6974533035701
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,350.6094075242373,645.6956992685757
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,457.3888021456439,655.796452813844
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,408.32799921148415,619.7223330093146
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,582.9267390654057,751.0321290978012
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,636.316436376109,758.2469530587069
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,976.8561273308652,730.8306220072647
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,971.0842681621405,538.9163046471691
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,930.6812539810677,536.0303750628068
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,986.9568808761334,465.32510024592955
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,799.3714578925812,488.4125369208282
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,748.8676901662403,460.996205869386
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,979.7420569152275,362.8746000010665
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,936.4531131497924,316.699726651269
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,988.3998456683146,289.2833955998268
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,861.4189439563715,271.9678180936527
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,896.0500989687197,297.94118435291375
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,515.1073938328907,495.62736088173403
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,187.5543860077651,139.21505721298513
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,395.3413160818536,185.38993056278252
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,354.93830190078086,472.5399242068354
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,109.63428722998191,600.9637907109595
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,137.05061828142414,531.7014806862633
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,336.17975960242563,423.47912127267557
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,636.316436376109,127.67133887553575
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,440.0732246394699,245.99445183439173
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,353.4953371085997,52.637169682114916
