image,y,x
NI240119_SMI31-488_20x_CHIR_02.czi,184.66845642340274,841.9389110052149
NI240119_SMI31-488_20x_CHIR_02.czi,193.32624517648978,690.427607826192
NI240119_SMI31-488_20x_CHIR_02.czi,233.72926210979946,533.1444454784446
NI240119_SMI31-488_20x_CHIR_02.czi,8.626754529536917,524.4866567253575
NI240119_SMI31-488_20x_CHIR_02.czi,73.56017017768957,300.8271139372761
NI240119_SMI31-488_20x_CHIR_02.czi,188.99735355218317,305.15600831381965
NI240119_SMI31-488_20x_CHIR_02.czi,302.99157213449564,107.46983178499937
NI240119_SMI31-488_20x_CHIR_02.czi,282.79006504395926,28.106768215035004
NI240119_SMI31-488_20x_CHIR_02.czi,707.0217139452233,54.080134474296074
NI240119_SMI31-488_20x_CHIR_02.czi,748.8676929184772,308.04193789818197
NI240119_SMI31-488_20x_CHIR_02.czi,727.2232210357597,345.5590224948924
NI240119_SMI31-488_20x_CHIR_02.czi,718.5654322826726,401.8346493899581
NI240119_SMI31-488_20x_CHIR_02.czi,891.7212073444131,334.01530415744304
NI240119_SMI31-488_20x_CHIR_02.czi,672.3905589328753,404.7205789743204
NI240119_SMI31-488_20x_CHIR_02.czi,318.86418484848855,473.98288899901655
NI240119_SMI31-488_20x_CHIR_02.czi,806.586284605724,775.5625305648812
NI240119_SMI31-488_20x_CHIR_02.czi,903.2649256818625,720.7298684619966
NI240119_SMI31-488_20x_CHIR_02.czi,848.432263578978,882.3419251862877
NI240119_SMI31-488_20x_CHIR_02.czi,240.9440860707053,929.9597633282663
