image,condition,path,split
NI231117_SMI31-488_20x_HCl_01.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_HCl_01.czi,train
NI231117_SMI31-488_20x_HCl_02.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_HCl_02.czi,test
NI231117_SMI31-488_20x_HCl_03.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_HCl_03.czi,val
NI231117_SMI31-488_20x_HCl_04.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_HCl_04.czi,train
NI231117_SMI31-488_20x_HCl_05.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_HCl_05.czi,val
NI231117_SMI31-488_20x_NT_01.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_NT_01.czi,train
NI231117_SMI31-488_20x_NT_02.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_NT_02.czi,train
NI231117_SMI31-488_20x_NT_03.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_NT_03.czi,train
NI231117_SMI31-488_20x_NT_04.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_NT_04.czi,test
NI231117_SMI31-488_20x_NT_05.czi,control,..\data\raw\control\NI231117_SMI31-488_20x_NT_05.czi,train
NI240119_SMI31-488_20x_HCl_01.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_HCl_01.czi,train
NI240119_SMI31-488_20x_HCl_02.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_HCl_02.czi,train
NI240119_SMI31-488_20x_HCl_03.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_HCl_03.czi,train
NI240119_SMI31-488_20x_HCl_04.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_HCl_04.czi,test
NI240119_SMI31-488_20x_HCl_05.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_HCl_05.czi,train
NI240119_SMI31-488_20x_NT_01.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_NT_01.czi,train
NI240119_SMI31-488_20x_NT_02.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_NT_02.czi,train
NI240119_SMI31-488_20x_NT_03.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_NT_03.czi,val
NI240119_SMI31-488_20x_NT_04.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_NT_04.czi,train
NI240119_SMI31-488_20x_NT_05.czi,control,..\data\raw\control\NI240119_SMI31-488_20x_NT_05.czi,train
NI231117_SMI31-488_20x_DMSOx1_01.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_DMSOx1_01.czi,train
NI231117_SMI31-488_20x_DMSOx1_02.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_DMSOx1_02.czi,train
NI231117_SMI31-488_20x_DMSOx1_03.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_DMSOx1_03.czi,train
NI231117_SMI31-488_20x_DMSOx1_04.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_DMSOx1_04.czi,test
NI231117_SMI31-488_20x_DMSOx1_05.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_DMSOx1_05.czi,train
NI231117_SMI31-488_20x_Glut_01.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_Glut_01.czi,train
NI231117_SMI31-488_20x_Glut_02.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_Glut_02.czi,train
NI231117_SMI31-488_20x_Glut_03 - pretty.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_Glut_03 - pretty.czi,train
NI231117_SMI31-488_20x_Glut_04.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_Glut_04.czi,train
NI231117_SMI31-488_20x_Glut_05.czi,high_beads,..\data\raw\high_beads\NI231117_SMI31-488_20x_Glut_05.czi,train
NI240119_SMI31-488_20x_DMSO_01.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_DMSO_01.czi,val
NI240119_SMI31-488_20x_DMSO_02.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_DMSO_02.czi,train
NI240119_SMI31-488_20x_DMSO_03.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_DMSO_03.czi,train
NI240119_SMI31-488_20x_DMSO_04.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_DMSO_04.czi,test
NI240119_SMI31-488_20x_DMSO_05.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_DMSO_05.czi,val
NI240119_SMI31-488_20x_Glut_01.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_Glut_01.czi,train
NI240119_SMI31-488_20x_Glut_02.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_Glut_02.czi,val
NI240119_SMI31-488_20x_Glut_03.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_Glut_03.czi,test
NI240119_SMI31-488_20x_Glut_04.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_Glut_04.czi,train
NI240119_SMI31-488_20x_Glut_05.czi,high_beads,..\data\raw\high_beads\NI240119_SMI31-488_20x_Glut_05.czi,train
NI231117_SMI31-488_20x_LiCl_01.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_LiCl_01.czi,test
NI231117_SMI31-488_20x_LiCl_02.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_LiCl_02.czi,train
NI231117_SMI31-488_20x_LiCl_03.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_LiCl_03.czi,val
NI231117_SMI31-488_20x_LiCl_04.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_LiCl_04.czi,val
NI231117_SMI31-488_20x_LiCl_05.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_LiCl_05.czi,test
NI231117_SMI31-488_20x_Piox1_01.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_Piox1_01.czi,train
