true_positives,false_positives,false_negatives,precision,recall,f1,image,condition,n_predicted,n_true
2,32,1,0.058823529411764705,0.6666666666666666,0.10810810810810811,NI231117_SMI31-488_20x_HCl_01.czi,control,34,3
2,15,1,0.11764705882352941,0.6666666666666666,0.2,NI231117_SMI31-488_20x_HCl_02.czi,control,17,3
1,16,0,0.058823529411764705,1.0,0.1111111111111111,NI231117_SMI31-488_20x_HCl_03.czi,control,17,1
0,28,1,0.0,0.0,0.0,NI231117_SMI31-488_20x_HCl_04.czi,control,28,1
1,16,1,0.058823529411764705,0.5,0.10526315789473684,NI231117_SMI31-488_20x_HCl_05.czi,control,17,2
1,14,1,0.06666666666666667,0.5,0.11764705882352941,NI231117_SMI31-488_20x_NT_01.czi,control,15,2
3,19,4,0.13636363636363635,0.42857142857142855,0.20689655172413793,NI231117_SMI31-488_20x_NT_02.czi,control,22,7
1,41,1,0.023809523809523808,0.5,0.04545454545454545,NI231117_SMI31-488_20x_NT_03.czi,control,42,2
3,11,0,0.21428571428571427,1.0,0.35294117647058826,NI231117_SMI31-488_20x_NT_04.czi,control,14,3
1,0,2,1.0,0.3333333333333333,0.5,NI231117_SMI31-488_20x_NT_05.czi,control,1,3
5,14,0,0.2631578947368421,1.0,0.4166666666666667,NI240119_SMI31-488_20x_HCl_01.czi,control,19,5
3,25,1,0.10714285714285714,0.75,0.1875,NI240119_SMI31-488_20x_HCl_02.czi,control,28,4
10,42,1,0.19230769230769232,0.9090909090909091,0.31746031746031744,NI240119_SMI31-488_20x_HCl_03.czi,control,52,11
4,32,0,0.1111111111111111,1.0,0.19999999999999998,NI240119_SMI31-488_20x_HCl_04.czi,control,36,4
4,31,3,0.11428571428571428,0.5714285714285714,0.19047619047619044,NI240119_SMI31-488_20x_HCl_05.czi,control,35,7
2,46,2,0.041666666666666664,0.5,0.07692307692307693,NI240119_SMI31-488_20x_NT_01.czi,control,48,4
2,57,0,0.03389830508474576,1.0,0.06557377049180328,NI240119_SMI31-488_20x_NT_02.czi,control,59,2
1,35,0,0.027777777777777776,1.0,0.05405405405405406,NI240119_SMI31-488_20x_NT_03.czi,control,36,1
0,29,2,0.0,0.0,0.0,NI240119_SMI31-488_20x_NT_04.czi,control,29,2
1,41,0,0.023809523809523808,1.0,0.046511627906976744,NI240119_SMI31-488_20x_NT_05.czi,control,42,1
11,16,8,0.4074074074074074,0.5789473684210527,0.47826086956521735,NI231117_SMI31-488_20x_DMSOx1_01.czi,high_beads,27,19
9,12,11,0.42857142857142855,0.45,0.4390243902439024,NI231117_SMI31-488_20x_DMSOx1_02.czi,high_beads,21,20
18,21,1,0.46153846153846156,0.9473684210526315,0.6206896551724138,NI231117_SMI31-488_20x_DMSOx1_03.czi,high_beads,39,19
9,10,7,0.47368421052631576,0.5625,0.5142857142857142,NI231117_SMI31-488_20x_DMSOx1_04.czi,high_beads,19,16
12,20,7,0.375,0.631578947368421,0.47058823529411764,NI231117_SMI31-488_20x_DMSOx1_05.czi,high_beads,32,19
6,14,8,0.3,0.42857142857142855,0.3529411764705882,NI231117_SMI31-488_20x_Glut_01.czi,high_beads,20,14
20,42,14,0.3225806451612903,0.5882352941176471,0.41666666666666663,NI231117_SMI31-488_20x_Glut_02.czi,high_beads,62,34
22,21,7,0.5116279069767442,0.7586206896551724,0.6111111111111112,NI231117_SMI31-488_20x_Glut_03 - pretty.czi,high_beads,43,29
28,33,4,0.45901639344262296,0.875,0.6021505376344086,NI231117_SMI31-488_20x_Glut_04.czi,high_beads,61,32
16,24,8,0.4,0.6666666666666666,0.5,NI231117_SMI31-488_20x_Glut_05.czi,high_beads,40,24
9,19,4,0.32142857142857145,0.6923076923076923,0.4390243902439025,NI240119_SMI31-488_20x_DMSO_01.czi,high_beads,28,13
14,32,4,0.30434782608695654,0.7777777777777778,0.43750000000000006,NI240119_SMI31-488_20x_DMSO_02.czi,high_beads,46,18
7,25,7,0.21875,0.5,0.30434782608695654,NI240119_SMI31-488_20x_DMSO_03.czi,high_beads,32,14
11,45,6,0.19642857142857142,0.6470588235294118,0.3013698630136986,NI240119_SMI31-488_20x_DMSO_04.czi,high_beads,56,17
20,38,6,0.3448275862068966,0.7692307692307693,0.47619047619047616,NI240119_SMI31-488_20x_DMSO_05.czi,high_beads,58,26
19,37,8,0.3392857142857143,0.7037037037037037,0.4578313253012048,NI240119_SMI31-488_20x_Glut_01.czi,high_beads,56,27
18,41,8,0.3050847457627119,0.6923076923076923,0.4235294117647059,NI240119_SMI31-488_20x_Glut_02.czi,high_beads,59,26
22,57,5,0.27848101265822783,0.8148148148148148,0.4150943396226415,NI240119_SMI31-488_20x_Glut_03.czi,high_beads,79,27
10,10,11,0.5,0.47619047619047616,0.4878048780487805,NI240119_SMI31-488_20x_Glut_04.czi,high_beads,20,21
13,27,20,0.325,0.3939393939393939,0.35616438356164376,NI240119_SMI31-488_20x_Glut_05.czi,high_beads,40,33
10,47,6,0.17543859649122806,0.625,0.273972602739726,NI231117_SMI31-488_20x_LiCl_01.czi,low_beads,57,16
5,6,8,0.45454545454545453,0.38461538461538464,0.41666666666666663,NI231117_SMI31-488_20x_LiCl_02.czi,low_beads,11,13
8,13,10,0.38095238095238093,0.4444444444444444,0.41025641025641024,NI231117_SMI31-488_20x_LiCl_03.czi,low_beads,21,18
1,1,11,0.5,0.08333333333333333,0.14285714285714285,NI231117_SMI31-488_20x_LiCl_04.czi,low_beads,2,12
10,13,8,0.43478260869565216,0.5555555555555556,0.4878048780487805,NI231117_SMI31-488_20x_LiCl_05.czi,low_beads,23,18
